Term,Spotify_SFA,Spotify_Creator Promotion,Scribd,QDT,Zignal,WGU,Afterpay,Lumen,Kin + Carta,HashiCorp,Talentify,Trellance,Upgrade,Sprouts,Pngme,Posh,SigFig,GGWP,NExTNet,Dashworks,Alectio,TOTALS,Notes
accessibility,,,,,,checked,checked,,,,,,,,,,checked,,,,,3,
dynamic,,,,,,checked,,,,,,,,checked,checked,,,,,,,3,
cross-discipline,,,,,,checked,,,checked,,,checked,,,,,,,,,,3,
Git,,,,,,,checked,checked,,,,,,,,,checked,,,,,3,
economics,,,,,,,checked,,,,,,,,,,checked,checked,,,,3,
detail-oriented,,,,,,,,,checked,,,,checked,checked,,,,,,,,3,
curiosity,,,,,,,,,checked,,,,,,,checked,,,,checked,,3,
cloud,,,,,,,,,checked,checked,,,,,,,,checked,,,,3,
scikit-learn,,,,,,,,,,checked,,,,,,checked,checked,,,,,3,
customer: churn,,,,,,,checked,,,checked,,,,,,,checked,,,,,3,
master’s,,,,,,checked,,,checked,checked,,,,,,,,,,,,3,
integration,,,,,,,checked,,,checked,,,,,,,,,checked,,,3,
regression,,,,,checked,,,,,checked,,checked,,,,,,,,,,3,
naive bayes,,,checked,,,,,,,checked,,checked,,,,,,,,,,3,
data: architecture,,,,,,,,,checked,,,checked,,checked,,,,,,,,3,
algorithms,,,,,,,,,,,,checked,,,,checked,,,,,checked,3,
NumPy,,,,,,,,,,checked,,checked,,,,checked,,,,,,3,
data: prep,,,,,,,,,,,,checked,,,,,,,checked,,checked,3,
fintech,,,,,,,,,,,,checked,checked,,checked,,,,,,,3,
data: structured,,,,,,,,,,,,checked,,,checked,checked,,,,,,3,
MS,,,,,,,,,,,,,checked,checked,,,,,checked,,,3,
customer: success,,,,,,,,,,checked,,,,,,,checked,,,checked,,3,
fast-paced,,,,,,,,,,,,,checked,checked,,,,checked,,,,3,
databases,,,,,,checked,,,,,,,,,,,,checked,checked,,,3,
graphs,,,,,checked,checked,,,,,,,,,,,,checked,,,,3,
evaluation,,,,,,,,,,,,,,checked,,,,checked,,checked,,3,
conferences,,,,,,,,,,,,,,,,checked,,,,checked,checked,3,
product: deployment,,,,,checked,,checked,,,,,,,,,,,,,checked,,3,
computer vision,,,checked,,,,,checked,,,,,,,,,,,,,,2,
educate,,,checked,,,,,,,,,,,,,,,,,,checked,2,
computational linguistics,,,checked,,,,,,,,,,,,,checked,,,,,,2,
3+ years DS,,checked,,,,,,,,,,,,,,,checked,,,,,2,
perspectives,checked,,,,,,,,,checked,,,,,,,,,,,,2,
background,checked,,,,,,,,,checked,,,,,,,,,,,,2,
mentorship,,checked,,,,checked,,,,,,,,,,,,,,,,2,
relationships ,,checked,,,,,,,,,,,,,,checked,,,,,,2,
automation,,,,checked,,,,,,,,,,,,,checked,,,,,2,
decision trees,,,,,checked,,,,,checked,,,,,,,,,,,,2,
S3,,,,,checked,,,,,,,,,,,,,,checked,,,2,
problem-solving,,,,checked,checked,,,,,,,,,,,,,,,,,2,
Databricks,,,,,checked,,checked,,,,,,,,,,,,,,,2,
5+ years DS,,,,,,checked,,,,,,checked,,,,,,,,,,2,
data: datasets,,,,,,checked,,,,,,,,checked,,,,,,,,2,
community,,,,,,checked,,,,,,,,,,checked,,,,,,2,
multivariate analysis,,,,,,checked,,,,checked,,,,,,,,,,,,2,
